movieId,Director,TopTwoActors,releaseDate
94018,Peter Berg,"['Taylor Kitsch', 'Alexander Skarsgård']",2012-04-11
117529,Colin Trevorrow,"['Chris Pratt', 'Bryce Dallas Howard']",2015-06-09
96079,Sam Mendes,"['Daniel Craig', 'Judi Dench']",2012-10-25
8636,Sam Raimi,"['Tobey Maguire', 'Kirsten Dunst']",2004-06-25
102125,Shane Black,"['Robert Downey Jr.', 'Gwyneth Paltrow']",2013-04-18
74789,Tim Burton,"['Mia Wasikowska', 'Johnny Depp']",2010-03-03
45499,Brett Ratner,"['Hugh Jackman', 'Halle Berry']",2006-05-24
103141,Dan Scanlon,"['Billy Crystal', 'John Goodman']",2013-06-20
69526,Michael Bay,"['Shia LaBeouf', 'Megan Fox']",2009-06-19
112370,Michael Bay,"['Mark Wahlberg', 'Stanley Tucci']",2014-06-25
101112,Sam Raimi,"['James Franco', 'Mila Kunis']",2013-03-07
110553,Marc Webb,"['Andrew Garfield', 'Emma Stone']",2014-04-16
82461,Joseph Kosinski,"['Garrett Hedlund', 'Jeff Bridges']",2010-12-10
87876,John Lasseter,"['Owen Wilson', 'Larry the Cable Guy']",2011-06-11
87430,Martin Campbell,"['Ryan Reynolds', 'Blake Lively']",2011-06-16
78499,Lee Unkrich,"['Tom Hanks', 'Tim Allen']",2010-06-16
68791,McG,"['Christian Bale', 'Sam Worthington']",2009-05-20
130634,James Wan,"['Vin Diesel', 'Paul Walker']",2015-04-01
103249,Marc Forster,"['Brad Pitt', 'Mireille Enos']",2013-06-20
111362,Bryan Singer,"['Hugh Jackman', 'James McAvoy']",2014-05-15
102445,J.J. Abrams,"['Chris Pine', 'Zachary Quinto']",2013-05-05
101025,Bryan Singer,"['Nicholas Hoult', 'Eleanor Tomlinson']",2013-02-27
102407,Baz Luhrmann,"['Leonardo DiCaprio', 'Tobey Maguire']",2013-05-10
78105,Mike Newell,"['Jake Gyllenhaal', 'Gemma Arterton']",2010-05-19
103228,Guillermo del Toro,"['Idris Elba', 'Charlie Hunnam']",2013-07-11
87520,Michael Bay,"['Shia LaBeouf', 'John Malkovich']",2011-06-28
59615,Steven Spielberg,"['Harrison Ford', 'Cate Blanchett']",2008-05-21
136016,Peter Sohn,"['Raymond Ochoa', 'Jack Bright']",2015-11-14
95167,Brenda Chapman,"['Kelly Macdonald', 'Julie Walters']",2012-06-21
135569,Justin Lin,"['Chris Pine', 'Zachary Quinto']",2016-07-07
60069,Andrew Stanton,"['Ben Burtt', 'Elissa Knight']",2008-06-22
54648,Brett Ratner,"['Chris Tucker', 'Jackie Chan']",2007-08-08
72378,Roland Emmerich,"['John Cusack', 'Amanda Peet']",2009-10-10
72294,Robert Zemeckis,"['Gary Oldman', 'Jim Carrey']",2009-11-04
113345,Lilly Wachowski,"['Mila Kunis', 'Channing Tatum']",2015-02-04
160563,David Yates,"['Alexander Skarsgård', 'Margot Robbie']",2016-06-29
41566,Andrew Adamson,"['William Moseley', 'Anna Popplewell']",2005-12-07
122924,Bryan Singer,"['James McAvoy', 'Michael Fassbender']",2016-05-18
58559,Christopher Nolan,"['Christian Bale', 'Heath Ledger']",2008-07-16
68954,Pete Docter,"['Ed Asner', 'Christopher Plummer']",2009-05-13
67408,Conrad Vernon,"['Seth Rogen', 'Reese Witherspoon']",2009-03-19
59315,Jon Favreau,"['Robert Downey Jr.', 'Terrence Howard']",2008-04-30
90866,Martin Scorsese,"['Ben Kingsley', 'Sacha Baron Cohen']",2011-11-22
2701,Barry Sonnenfeld,"['Will Smith', 'Kevin Kline']",1999-06-29
60937,Rob Cohen,"['Brendan Fraser', 'Jet Li']",2008-07-01
135536,David Ayer,"['Will Smith', 'Margot Robbie']",2016-08-02
53993,Tom Shadyac,"['Steve Carell', 'Lauren Graham']",2007-06-09
111759,Doug Liman,"['Tom Cruise', 'Emily Blunt']",2014-05-27
208,Kevin Reynolds,"['Kevin Costner', 'Chaim Girafi']",1995-07-28
70336,Stephen Sommers,"['Dennis Quaid', 'Channing Tatum']",2009-08-04
134853,Pete Docter,"['Amy Poehler', 'Phyllis Smith']",2015-06-09
137857,Jon Favreau,"['Neel Sethi', 'Bill Murray']",2016-04-07
77561,Jon Favreau,"['Robert Downey Jr.', 'Gwyneth Paltrow']",2010-04-28
94780,Rupert Sanders,"['Kristen Stewart', 'Charlize Theron']",2012-05-30
111659,Robert Stromberg,"['Angelina Jolie', 'Elle Fanning']",2014-05-28
112623,Matt Reeves,"['Andy Serkis', 'Jason Clarke']",2014-06-26
136859,Roland Joffé,"['Josh Hartnett', 'Simone Kessell']",2015-02-13
106491,Carl Rinsch,"['Keanu Reeves', 'Hiroyuki Sanada']",2013-12-06
110102,Anthony Russo,"['Chris Evans', 'Samuel L. Jackson']",2014-03-20
78637,Mike Mitchell,"['Mike Myers', 'Eddie Murphy']",2010-05-16
132046,Brad Bird,"['Britt Robertson', 'George Clooney']",2015-05-19
115617,Chris Williams,"['Scott Adsit', 'Ryan Potter']",2014-10-24
97913,Rich Moore,"['John C. Reilly', 'Sarah Silverman']",2012-11-01
8965,Robert Zemeckis,"['Tom Hanks', 'Michael Jeter']",2004-11-10
135567,Roland Emmerich,"['Liam Hemsworth', 'Jeff Goldblum']",2016-06-22
76093,Chris Sanders,"['Jay Baruchel', 'Gerard Butler']",2010-03-05
6537,Jonathan Mostow,"['Arnold Schwarzenegger', 'Nick Stahl']",2003-07-02
112852,James Gunn,"['Chris Pratt', 'Zoe Saldana']",2014-07-30
109487,Christopher Nolan,"['Matthew McConaughey', 'Jessica Chastain']",2014-11-05
79132,Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt']",2010-07-14
163056,Hideaki Anno,"['Hiroki Hasegawa', 'Yutaka Takenouchi']",2016-07-29
98809,Peter Jackson,"['Ian McKellen', 'Martin Freeman']",2012-11-26
4369,Rob Cohen,"['Paul Walker', 'Vin Diesel']",2001-06-22
64957,David Fincher,"['Cate Blanchett', 'Brad Pitt']",2008-11-24
87232,Matthew Vaughn,"['James McAvoy', 'Michael Fassbender']",2011-05-24
135133,Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson']",2015-11-18
79139,Jon Turteltaub,"['Nicolas Cage', 'Jay Baruchel']",2010-07-13
45442,Wolfgang Petersen,"['Kurt Russell', 'Richard Dreyfuss']",2006-05-12
158813,James Bobin,"['Johnny Depp', 'Mia Wasikowska']",2016-05-25
53121,Chris Miller,"['Mike Myers', 'Eddie Murphy']",2007-05-17
122890,Duncan Jones,"['Paula Patton', 'Travis Fimmel']",2016-05-25
120799,Alan Taylor,"['Arnold Schwarzenegger', 'Jason Clarke']",2015-06-23
82169,Michael Apted,"['Skandar Keynes', 'Georgie Henley']",2010-08-13
4310,Michael Bay,"['Ben Affleck', 'Josh Hartnett']",2001-05-21
53996,Michael Bay,"['Shia LaBeouf', 'Josh Duhamel']",2007-06-27
8977,Oliver Stone,"['Colin Farrell', 'Angelina Jolie']",2004-11-21
54001,David Yates,"['Daniel Radcliffe', 'Rupert Grint']",2007-06-28
40815,Mike Newell,"['Daniel Radcliffe', 'Rupert Grint']",2005-11-05
60074,Peter Berg,"['Will Smith', 'Charlize Theron']",2008-07-01
56174,Francis Lawrence,"['Will Smith', 'Alice Braga']",2007-12-14
30793,Tim Burton,"['Johnny Depp', 'Freddie Highmore']",2005-07-13
50872,Jan Pinkava,"['Patton Oswalt', 'Ian Holm']",2007-06-22
33794,Christopher Nolan,"['Christian Bale', 'Michael Caine']",2005-06-10
62999,Eric Darnell,"['Ben Stiller', 'Jada Pinkett Smith']",2008-10-30
68793,Shawn Levy,"['Ben Stiller', 'Amy Adams']",2009-05-20
68319,Gavin Hood,"['Hugh Jackman', 'Liev Schreiber']",2009-04-28
6934,Lilly Wachowski,"['Keanu Reeves', 'Laurence Fishburne']",2003-11-05
106696,Chris Buck,"['Kristen Bell', 'Idina Menzel']",2013-11-27
6365,Lilly Wachowski,"['Keanu Reeves', 'Carrie-Anne Moss']",2003-05-15
106072,Alan Taylor,"['Chris Hemsworth', 'Natalie Portman']",2013-10-29
122882,George Miller,"['Tom Hardy', 'Charlize Theron']",2015-05-13
68554,Ron Howard,"['Tom Hanks', 'Ewan McGregor']",2009-05-13
86332,Kenneth Branagh,"['Chris Hemsworth', 'Natalie Portman']",2011-04-21
63859,Chris Williams,"['John Travolta', 'Miley Cyrus']",2008-11-21
70697,Hoyt Yeatman,"['Sam Rockwell', 'Penélope Cruz']",2009-07-21
93766,Jonathan Liebesman,"['Sam Worthington', 'Liam Neeson']",2012-03-27
94478,Tim Burton,"['Johnny Depp', 'Michelle Pfeiffer']",2012-05-08
111781,Christopher McQuarrie,"['Tom Cruise', 'Rebecca Ferguson']",2015-07-23
74452,Joe Johnston,"['Benicio del Toro', 'Anthony Hopkins']",2010-02-11
55768,Steve Hickner,"['Jerry Seinfeld', 'Renée Zellweger']",2007-10-28
87222,Jennifer Yuh Nelson,"['Jack Black', 'Angelina Jolie']",2011-05-25
78893,M. Night Shyamalan,"['Noah Ringer', 'Nicola Peltz']",2010-06-30
45186,J.J. Abrams,"['Tom Cruise', 'Philip Seymour Hoffman']",2006-05-03
103339,Roland Emmerich,"['Channing Tatum', 'Jamie Foxx']",2013-06-27
85261,Simon Wells,"['Seth Green', 'Joan Cusack']",2011-03-09
48982,David Bowers,"['Hugh Jackman', 'Kate Winslet']",2006-10-22
130450,Joe Wright,"['Levi Miller', 'Garrett Hedlund']",2015-09-24
109846,Rob Minkoff,"['Ty Burrell', 'Max Charles']",2014-02-07
7458,Wolfgang Petersen,"['Brad Pitt', 'Orlando Bloom']",2004-05-13
95105,Conrad Vernon,"['Ben Stiller', 'Sacha Baron Cohen']",2012-06-06
5872,Lee Tamahori,"['Pierce Brosnan', 'Halle Berry']",2002-11-17
160080,Paul Feig,"['Melissa McCarthy', 'Kristen Wiig']",2016-07-14
1917,Michael Bay,"['Bruce Willis', 'Billy Bob Thornton']",1998-07-01
5459,Barry Sonnenfeld,"['Tommy Lee Jones', 'Will Smith']",2002-07-03
55995,Robert Zemeckis,"['Ray Winstone', 'Angelina Jolie']",2007-11-05
149406,Jennifer Yuh Nelson,"['Jack Black', 'Bryan Cranston']",2016-01-23
91630,Brad Bird,"['Tom Cruise', 'Jeremy Renner']",2011-12-07
98243,Peter Ramsey,"['Chris Pine', 'Alec Baldwin']",2012-11-21
42011,Dean Parisot,"['Jim Carrey', 'Téa Leoni']",2005-12-21
7143,Edward Zwick,"['Tom Cruise', 'Ken Watanabe']",2003-12-05
116887,Ridley Scott,"['Christian Bale', 'Joel Edgerton']",2014-12-03
68358,J.J. Abrams,"['Chris Pine', 'Zachary Quinto']",2009-05-06
5349,Sam Raimi,"['Tobey Maguire', 'Willem Dafoe']",2002-05-01
112175,Dean DeBlois,"['Jay Baruchel', 'Gerard Butler']",2014-06-12
152063,Alex Proyas,"['Brenton Thwaites', 'Nikolaj Coster-Waldau']",2016-02-25
34334,Rob Cohen,"['Josh Lucas', 'Jessica Biel']",2005-07-28
60684,Zack Snyder,"['Malin Åkerman', 'Billy Crudup']",2009-03-05
1918,Richard Donner,"['Mel Gibson', 'Danny Glover']",1998-07-10
6534,Ang Lee,"['Eric Bana', 'Jennifer Connelly']",2003-06-19
101076,Jon M. Chu,"['Dwayne Johnson', 'D.J. Cotrona']",2013-03-26
32596,Breck Eisner,"['Matthew McConaughey', 'Penélope Cruz']",2005-04-06
4446,Hironobu Sakaguchi,"['Donald Sutherland', 'Ming-Na Wen']",2001-07-02
88140,Joe Johnston,"['Chris Evans', 'Hugo Weaving']",2011-07-22
3082,Michael Apted,"['Pierce Brosnan', 'Sophie Marceau']",1999-11-08
6947,Peter Weir,"['Russell Crowe', 'Paul Bettany']",2003-11-14
98203,Bill Condon,"['Kristen Stewart', 'Robert Pattinson']",2012-11-13
91386,George Miller,"['Elijah Wood', 'Robin Williams']",2011-11-17
60040,Louis Leterrier,"['Edward Norton', 'Liv Tyler']",2008-06-12
158830,Steven Spielberg,"['Ruby Barnhill', 'Mark Rylance']",2016-06-01
139385,Alejandro González Iñárritu,"['Leonardo DiCaprio', 'Tom Hardy']",2015-12-25
103755,David Soren,"['Ryan Reynolds', 'Paul Giamatti']",2013-07-11
84944,Gore Verbinski,"['Johnny Depp', 'Isla Fisher']",2011-03-02
117851,Eric Darnell,"['Tom McGrath', 'Chris Miller']",2014-11-22
54286,Paul Greengrass,"['Matt Damon', 'Julia Stiles']",2007-08-03
59784,Mark Osborne,"['Jack Black', 'Dustin Hoffman']",2008-06-04
122900,Peyton Reed,"['Paul Rudd', 'Michael Douglas']",2015-07-14
106487,Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson']",2013-11-15
130520,Tim Johnson,"['Jim Parsons', 'Rihanna']",2015-03-18
34048,Steven Spielberg,"['Tom Cruise', 'Dakota Fanning']",2005-06-28
6548,Michael Bay,"['Martin Lawrence', 'Will Smith']",2003-07-18
79293,Phillip Noyce,"['Angelina Jolie', 'Liev Schreiber']",2010-07-21
110127,Darren Aronofsky,"['Russell Crowe', 'Jennifer Connelly']",2014-03-20
90746,Steven Spielberg,"['Jamie Bell', 'Andy Serkis']",2011-10-25
8368,Alfonso Cuarón,"['Daniel Radcliffe', 'Rupert Grint']",2004-05-31
63853,Baz Luhrmann,"['Nicole Kidman', 'Hugh Jackman']",2008-11-18
102880,M. Night Shyamalan,"['Jaden Smith', 'Will Smith']",2013-05-30
3615,Ralph Zondag,"['D. B. Sweeney', 'Alfre Woodard']",2000-05-19
119155,Shawn Levy,"['Ben Stiller', 'Rami Malek']",2014-12-17
81564,Tom McGrath,"['Will Ferrell', 'Brad Pitt']",2010-10-28
4896,Chris Columbus,"['Daniel Radcliffe', 'Rupert Grint']",2001-11-16
103655,Robert Schwentke,"['Jeff Bridges', 'Ryan Reynolds']",2013-07-18
6539,Gore Verbinski,"['Johnny Depp', 'Geoffrey Rush']",2003-07-09
116823,Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson']",2014-11-18
45447,Ron Howard,"['Tom Hanks', 'Audrey Tautou']",2006-05-17
110655,Carlos Saldanha,"['Jesse Eisenberg', 'Anne Hathaway']",2014-03-19
6333,Bryan Singer,"['Patrick Stewart', 'Hugh Jackman']",2003-04-24
86644,Justin Lin,"['Vin Diesel', 'Paul Walker']",2011-04-20
91542,Guy Ritchie,"['Robert Downey Jr.', 'Jude Law']",2011-11-22
76175,Louis Leterrier,"['Sam Worthington', 'Liam Neeson']",2010-04-01
2916,Paul Verhoeven,"['Arnold Schwarzenegger', 'Sharon Stone']",1990-06-01
2826,John McTiernan,"['Antonio Banderas', 'Vladimir Kulich']",1999-08-27
91535,Tony Gilroy,"['Jeremy Renner', 'Rachel Weisz']",2012-08-08
1562,Joel Schumacher,"['George Clooney', ""Chris O'Donnell""]",1997-06-20
3988,Ron Howard,"['Jim Carrey', 'Taylor Momsen']",2000-11-17
8361,Roland Emmerich,"['Dennis Quaid', 'Jake Gyllenhaal']",2004-05-26
3623,John Woo,"['Tom Cruise', 'Dougray Scott']",2000-05-24
3755,Wolfgang Petersen,"['George Clooney', 'Mark Wahlberg']",2000-03-15
53464,Tim Story,"['Ioan Gruffudd', 'Jessica Alba']",2007-06-13
97938,Ang Lee,"['Suraj Sharma', 'Irrfan Khan']",2012-11-20
51077,Mark Steven Johnson,"['Nicolas Cage', 'Eva Mendes']",2007-02-16
160438,Paul Greengrass,"['Matt Damon', 'Alicia Vikander']",2016-07-27
6503,McG,"['Cameron Diaz', 'Drew Barrymore']",2003-06-27
94864,Ridley Scott,"['Noomi Rapace', 'Michael Fassbender']",2012-05-30
5480,Rob Minkoff,"['Michael J. Fox', 'Geena Davis']",2002-07-19
103253,Neill Blomkamp,"['Matt Damon', 'Jodie Foster']",2013-08-07
8371,David Twohy,"['Vin Diesel', 'Thandie Newton']",2004-06-11
108945,José Padilha,"['Joel Kinnaman', 'Gary Oldman']",2014-01-30
59037,Lilly Wachowski,"['Emile Hirsch', 'Christina Ricci']",2008-05-09
82499,James L. Brooks,"['Reese Witherspoon', 'Paul Rudd']",2010-12-17
79185,James Mangold,"['Tom Cruise', 'Cameron Diaz']",2010-06-15
101864,Joseph Kosinski,"['Tom Cruise', 'Morgan Freeman']",2013-04-10
33493,George Lucas,"['Ewan McGregor', 'Natalie Portman']",2005-05-17
5378,George Lucas,"['Ewan McGregor', 'Natalie Portman']",2002-05-15
4886,Pete Docter,"['John Goodman', 'Billy Crystal']",2001-11-01
103772,James Mangold,"['Hugh Jackman', 'Hiroyuki Sanada']",2013-07-23
2628,George Lucas,"['Liam Neeson', 'Ewan McGregor']",1999-05-19
101142,Chris Sanders,"['Nicolas Cage', 'Emma Stone']",2013-03-20
73804,Thomas Langmann,"['Clovis Cornillac', 'Gérard Depardieu']",2008-01-13
5420,John Woo,"['Nicolas Cage', 'Adam Beach']",2002-06-14
156607,Cedric Nicolas-Troyan,"['Chris Hemsworth', 'Charlize Theron']",2016-04-06
113348,Jonathan Liebesman,"['Megan Fox', 'Will Arnett']",2014-08-07
104841,Alfonso Cuarón,"['Sandra Bullock', 'George Clooney']",2013-09-27
1438,Roger Donaldson,"['Pierce Brosnan', 'Linda Hamilton']",1997-02-07
159690,Dave Green,"['Megan Fox', 'Stephen Amell']",2016-06-01
122902,Josh Trank,"['Miles Teller', 'Kate Mara']",2015-08-05
46972,Shawn Levy,"['Ben Stiller', 'Jake Cherry']",2006-10-20
132796,Brad Peyton,"['Dwayne Johnson', 'Alexandra Daddario']",2015-05-27
1722,Roger Spottiswoode,"['Pierce Brosnan', 'Jonathan Pryce']",1997-12-11
3753,Roland Emmerich,"['Mel Gibson', 'Heath Ledger']",2000-06-28
8984,Steven Soderbergh,"['George Clooney', 'Brad Pitt']",2004-12-09
33679,Doug Liman,"['Angelina Jolie', 'Brad Pitt']",2005-06-07
130490,Robert Schwentke,"['Shailene Woodley', 'Theo James']",2015-03-18
30812,Martin Scorsese,"['Leonardo DiCaprio', 'Cate Blanchett']",2004-12-17
82854,Rob Letterman,"['Jack Black', 'Amanda Peet']",2010-12-25
83349,Michel Gondry,"['Seth Rogen', 'Jay Chou']",2011-01-12
109673,Noam Murro,"['Sullivan Stapleton', 'Eva Green']",2014-03-05
88356,Raja Gosnell,"['Hank Azaria', 'Neil Patrick Harris']",2011-07-29
90249,Shawn Levy,"['Hugh Jackman', 'Dakota Goyo']",2011-09-28
104076,Raja Gosnell,"['Hank Azaria', 'Neil Patrick Harris']",2013-07-30
1556,Jan de Bont,"['Sandra Bullock', 'Jason Patric']",1997-06-13
106002,Gavin Hood,"['Asa Butterfield', 'Harrison Ford']",2013-10-23
53972,Len Wiseman,"['Bruce Willis', 'Justin Long']",2007-06-20
4993,Peter Jackson,"['Elijah Wood', 'Ian McKellen']",2001-12-18
8526,Frank Coraci,"['Jackie Chan', 'Steve Coogan']",2004-06-16
5009,Michael Mann,"['Will Smith', 'Jamie Foxx']",2001-12-11
6951,Bo Welch,"['Mike Myers', 'Dakota Fanning']",2003-11-21
8644,Alex Proyas,"['Will Smith', 'Bridget Moynahan']",2004-07-15
33162,Ridley Scott,"['Orlando Bloom', 'Eva Green']",2005-05-03
3157,Rob Minkoff,"['Michael J. Fox', 'Geena Davis']",1999-12-17
72737,Ron Clements,"['Anika Noni Rose', 'Bruno Campos']",2009-12-08
134130,Ridley Scott,"['Matt Damon', 'Jessica Chastain']",2015-09-30
34319,Michael Bay,"['Ewan McGregor', 'Scarlett Johansson']",2005-07-20
4268,Peter Chelsom,"['Warren Beatty', 'Diane Keaton']",2001-04-27
3717,Dominic Sena,"['Nicolas Cage', 'Angelina Jolie']",2000-06-09
3578,Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix']",2000-05-01
5445,Steven Spielberg,"['Tom Cruise', 'Colin Farrell']",2002-06-20
5816,Chris Columbus,"['Daniel Radcliffe', 'Rupert Grint']",2002-11-13
49272,Martin Campbell,"['Daniel Craig', 'Eva Green']",2006-11-14
4643,Tim Burton,"['Mark Wahlberg', 'Tim Roth']",2001-07-25
589,James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton']",1991-07-01
69640,Michael Mann,"['Christian Bale', 'Johnny Depp']",2009-07-01
55765,Ridley Scott,"['Denzel Washington', 'Russell Crowe']",2007-11-02
380,James Cameron,"['Arnold Schwarzenegger', 'Jamie Lee Curtis']",1994-07-14
69306,Tony Scott,"['Denzel Washington', 'John Travolta']",2009-06-11
82852,Paul Weitz,"['Robert De Niro', 'Ben Stiller']",2010-12-21
79592,Adam McKay,"['Will Ferrell', 'Mark Wahlberg']",2010-08-06
786,Chuck Russell,"['Arnold Schwarzenegger', 'James Caan']",1996-06-21
99114,Quentin Tarantino,"['Jamie Foxx', 'Christoph Waltz']",2012-12-25
783,Gary Trousdale,"['Tom Hulce', 'Demi Moore']",1996-06-21
4016,Mark Dindal,"['David Spade', 'John Goodman']",2000-12-09
91485,Simon West,"['Sylvester Stallone', 'Jason Statham']",2012-08-08
8972,Jon Turteltaub,"['Nicolas Cage', 'Diane Kruger']",2004-11-19
49649,Stefen Fangmeier,"['Ed Speleers', 'Jeremy Irons']",2006-12-14
71745,Spike Jonze,"['Max Records', 'Catherine Keener']",2009-10-16
102720,Chris Wedge,"['Josh Hutcherson', 'Amanda Seyfried']",2013-05-15
82202,Florian Henckel von Donnersmarck,"['Johnny Depp', 'Angelina Jolie']",2010-12-08
3113,Peter Hyams,"['Arnold Schwarzenegger', 'Gabriel Byrne']",1999-11-24
49530,Edward Zwick,"['Leonardo DiCaprio', 'Djimon Hounsou']",2006-12-07
106782,Martin Scorsese,"['Leonardo DiCaprio', 'Jonah Hill']",2013-12-25
153,Joel Schumacher,"['Val Kilmer', 'Tommy Lee Jones']",1995-05-31
1676,Paul Verhoeven,"['Casper Van Dien', 'Dina Meyer']",1997-11-06
97752,Tom Tykwer,"['Tom Hanks', 'Halle Berry']",2012-10-26
80615,Zack Snyder,"['Emily Barclay', 'Abbie Cornish']",2010-07-10
8666,Pitof,"['Halle Berry', 'Benjamin Bratt']",2004-07-22
112911,Brett Ratner,"['Dwayne Johnson', 'Ian McShane']",2014-07-23
5882,Ron Clements,"['Joseph Gordon-Levitt', 'Brian Murray']",2002-11-26
69278,Brad Silberling,"['Will Ferrell', 'Anna Friel']",2009-06-05
112897,Patrick Hughes,"['Sylvester Stallone', 'Jason Statham']",2014-08-04
31698,Lawrence Guterman,"['Jamie Kennedy', 'Alan Cumming']",2005-02-18
117466,Ron Howard,"['Chris Hemsworth', 'Benjamin Walker']",2015-11-20
5523,Ron Underwood,"['Eddie Murphy', 'Randy Quaid']",2002-08-15
74795,Paul Greengrass,"['Matt Damon', 'Greg Kinnear']",2010-03-11
145935,Steve Martino,"['Noah Schnapp', 'Bill Melendez']",2015-11-05
1834,David Mamet,"['Steve Martin', 'Campbell Scott']",1997-09-08
4270,Stephen Sommers,"['Brendan Fraser', 'Rachel Weisz']",2001-04-28
5956,Martin Scorsese,"['Leonardo DiCaprio', 'Daniel Day-Lewis']",2002-12-14
92243,Zhang Yimou,"['Christian Bale', 'Ni Ni']",2011-12-15
53460,Ash Brannon,"['Shia LaBeouf', 'Jeff Bridges']",2007-06-08
8373,Frank Oz,"['Nicole Kidman', 'Matthew Broderick']",2004-06-10
5010,Ridley Scott,"['Josh Hartnett', 'Ewan McGregor']",2001-12-28
96110,Jay Roach,"['Will Ferrell', 'Zach Galifianakis']",2012-08-09
1527,Luc Besson,"['Bruce Willis', 'Gary Oldman']",1997-05-07
78174,Michael Patrick King,"['Sarah Jessica Parker', 'Kristin Davis']",2010-05-26
3483,Don Michael Paul,"['Kenneth Branagh', 'Kevin Kline']",2000-03-31
95543,Steve Martino,"['John Leguizamo', 'Ray Romano']",2012-06-26
130073,Kenneth Branagh,"['Lily James', 'Cate Blanchett']",2015-03-12
72731,Peter Jackson,"['Rachel Weisz', 'Mark Wahlberg']",2009-12-26
6377,Andrew Stanton,"['Albert Brooks', 'Ellen DeGeneres']",2003-05-30
7153,Peter Jackson,"['Elijah Wood', 'Ian McKellen']",2003-12-01
5952,Peter Jackson,"['Elijah Wood', 'Ian McKellen']",2002-12-18
119655,Sergei Bodrov,"['Jeff Bridges', 'Julianne Moore']",2014-12-12
4367,Simon West,"['Angelina Jolie', 'Jon Voight']",2001-06-11
110730,Wally Pfister,"['Johnny Depp', 'Paul Bettany']",2014-04-16
4638,Joe Johnston,"['Sam Neill', 'William H. Macy']",2001-07-18
88744,Rupert Wyatt,"['James Franco', 'Freida Pinto']",2011-08-03
58105,Mark Waters,"['Freddie Highmore', 'Mary-Louise Parker']",2008-02-14
100498,John Moore,"['Bruce Willis', 'Jai Courtney']",2013-02-06
7379,John Lee Hancock,"['Dennis Quaid', 'Billy Bob Thornton']",2004-04-07
8961,Brad Bird,"['Craig T. Nelson', 'Holly Hunter']",2004-11-05
15,Renny Harlin,"['Geena Davis', 'Matthew Modine']",1995-12-22
74530,Chris Columbus,"['Logan Lerman', 'Brandon T. Jackson']",2010-02-01
1580,Barry Sonnenfeld,"['Tommy Lee Jones', 'Will Smith']",1997-07-02
3114,John Lasseter,"['Tom Hanks', 'Tim Allen']",1999-10-30
81782,Tony Scott,"['Denzel Washington', 'Chris Pine']",2010-11-04
4701,Brett Ratner,"['Chris Tucker', 'Jackie Chan']",2001-08-03
3798,Robert Zemeckis,"['Harrison Ford', 'Michelle Pfeiffer']",2000-07-21
71264,Phil Lord,"['Bill Hader', 'Anna Faris']",2009-09-17
69644,Carlos Saldanha,"['Ray Romano', 'John Leguizamo']",2009-06-29
