movie_id,title,Director,Top Two Actors,release_date
12155,Alice in Wonderland,Tim Burton,"['Mia Wasikowska', 'Johnny Depp']",2010-03-03
36668,X-Men: The Last Stand,Brett Ratner,"['Hugh Jackman', 'Halle Berry']",2006-05-24
62211,Monsters University,Dan Scanlon,"['Billy Crystal', 'John Goodman']",2013-06-20
8373,Transformers: Revenge of the Fallen,Michael Bay,"['Shia LaBeouf', 'Megan Fox']",2009-06-19
91314,Transformers: Age of Extinction,Michael Bay,"['Mark Wahlberg', 'Stanley Tucci']",2014-06-25
68728,Oz: The Great and Powerful,Sam Raimi,"['James Franco', 'Mila Kunis']",2013-03-07
102382,The Amazing Spider-Man 2,Marc Webb,"['Andrew Garfield', 'Emma Stone']",2014-04-16
20526,TRON: Legacy,Joseph Kosinski,"['Garrett Hedlund', 'Jeff Bridges']",2010-12-10
49013,Cars 2,John Lasseter,"['Owen Wilson', 'Larry the Cable Guy']",2011-06-11
44912,Green Lantern,Martin Campbell,"['Ryan Reynolds', 'Blake Lively']",2011-06-16
10193,Toy Story 3,Lee Unkrich,"['Tom Hanks', 'Tim Allen']",2010-06-16
534,Terminator Salvation,McG,"['Christian Bale', 'Sam Worthington']",2009-05-20
168259,Furious 7,James Wan,"['Vin Diesel', 'Paul Walker']",2015-04-01
72190,World War Z,Marc Forster,"['Brad Pitt', 'Mireille Enos']",2013-06-20
127585,X-Men: Days of Future Past,Bryan Singer,"['Hugh Jackman', 'James McAvoy']",2014-05-15
54138,Star Trek Into Darkness,J.J. Abrams,"['Chris Pine', 'Zachary Quinto']",2013-05-05
81005,Jack the Giant Slayer,Bryan Singer,"['Nicholas Hoult', 'Eleanor Tomlinson']",2013-02-27
64682,The Great Gatsby,Baz Luhrmann,"['Leonardo DiCaprio', 'Tobey Maguire']",2013-05-10
9543,Prince of Persia: The Sands of Time,Mike Newell,"['Jake Gyllenhaal', 'Gemma Arterton']",2010-05-19
68726,Pacific Rim,Guillermo del Toro,"['Idris Elba', 'Charlie Hunnam']",2013-07-11
38356,Transformers: Dark of the Moon,Michael Bay,"['Shia LaBeouf', 'John Malkovich']",2011-06-28
217,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,"['Harrison Ford', 'Cate Blanchett']",2008-05-21
105864,The Good Dinosaur,Peter Sohn,"['Raymond Ochoa', 'Jack Bright']",2015-11-14
62177,Brave,Brenda Chapman,"['Kelly Macdonald', 'Julie Walters']",2012-06-21
188927,Star Trek Beyond,Justin Lin,"['Chris Pine', 'Zachary Quinto']",2016-07-07
10681,WALL·E,Andrew Stanton,"['Ben Burtt', 'Elissa Knight']",2008-06-22
5174,Rush Hour 3,Brett Ratner,"['Chris Tucker', 'Jackie Chan']",2007-08-08
14161,2012,Roland Emmerich,"['John Cusack', 'Amanda Peet']",2009-10-10
17979,A Christmas Carol,Robert Zemeckis,"['Gary Oldman', 'Jim Carrey']",2009-11-04
76757,Jupiter Ascending,Lilly Wachowski,"['Mila Kunis', 'Channing Tatum']",2015-02-04
258489,The Legend of Tarzan,David Yates,"['Alexander Skarsgård', 'Margot Robbie']",2016-06-29
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Andrew Adamson,"['William Moseley', 'Anna Popplewell']",2005-12-07
246655,X-Men: Apocalypse,Bryan Singer,"['James McAvoy', 'Michael Fassbender']",2016-05-18
155,The Dark Knight,Christopher Nolan,"['Christian Bale', 'Heath Ledger']",2008-07-16
14160,Up,Pete Docter,"['Ed Asner', 'Christopher Plummer']",2009-05-13
15512,Monsters vs Aliens,Conrad Vernon,"['Seth Rogen', 'Reese Witherspoon']",2009-03-19
1726,Iron Man,Jon Favreau,"['Robert Downey Jr.', 'Terrence Howard']",2008-04-30
44826,Hugo,Martin Scorsese,"['Ben Kingsley', 'Sacha Baron Cohen']",2011-11-22
8487,Wild Wild West,Barry Sonnenfeld,"['Will Smith', 'Kevin Kline']",1999-06-29
1735,The Mummy: Tomb of the Dragon Emperor,Rob Cohen,"['Brendan Fraser', 'Jet Li']",2008-07-01
297761,Suicide Squad,David Ayer,"['Will Smith', 'Margot Robbie']",2016-08-02
2698,Evan Almighty,Tom Shadyac,"['Steve Carell', 'Lauren Graham']",2007-06-09
137113,Edge of Tomorrow,Doug Liman,"['Tom Cruise', 'Emily Blunt']",2014-05-27
9804,Waterworld,Kevin Reynolds,"['Kevin Costner', 'Chaim Girafi']",1995-07-28
14869,G.I. Joe: The Rise of Cobra,Stephen Sommers,"['Dennis Quaid', 'Channing Tatum']",2009-08-04
150540,Inside Out,Pete Docter,"['Amy Poehler', 'Phyllis Smith']",2015-06-09
278927,The Jungle Book,Jon Favreau,"['Neel Sethi', 'Bill Murray']",2016-04-07
10138,Iron Man 2,Jon Favreau,"['Robert Downey Jr.', 'Gwyneth Paltrow']",2010-04-28
58595,Snow White and the Huntsman,Rupert Sanders,"['Kristen Stewart', 'Charlize Theron']",2012-05-30
102651,Maleficent,Robert Stromberg,"['Angelina Jolie', 'Elle Fanning']",2014-05-28
119450,Dawn of the Planet of the Apes,Matt Reeves,"['Andy Serkis', 'Jason Clarke']",2014-06-26
79698,The Lovers,Roland Joffé,"['Josh Hartnett', 'Simone Kessell']",2015-02-13
64686,47 Ronin,Carl Rinsch,"['Keanu Reeves', 'Hiroyuki Sanada']",2013-12-06
100402,Captain America: The Winter Soldier,Anthony Russo,"['Chris Evans', 'Samuel L. Jackson']",2014-03-20
10192,Shrek Forever After,Mike Mitchell,"['Mike Myers', 'Eddie Murphy']",2010-05-16
158852,Tomorrowland,Brad Bird,"['Britt Robertson', 'George Clooney']",2015-05-19
177572,Big Hero 6,Chris Williams,"['Scott Adsit', 'Ryan Potter']",2014-10-24
82690,Wreck-It Ralph,Rich Moore,"['John C. Reilly', 'Sarah Silverman']",2012-11-01
5255,The Polar Express,Robert Zemeckis,"['Tom Hanks', 'Michael Jeter']",2004-11-10
47933,Independence Day: Resurgence,Roland Emmerich,"['Liam Hemsworth', 'Jeff Goldblum']",2016-06-22
10191,How to Train Your Dragon,Chris Sanders,"['Jay Baruchel', 'Gerard Butler']",2010-03-05
296,Terminator 3: Rise of the Machines,Jonathan Mostow,"['Arnold Schwarzenegger', 'Nick Stahl']",2003-07-02
118340,Guardians of the Galaxy,James Gunn,"['Chris Pratt', 'Zoe Saldana']",2014-07-30
157336,Interstellar,Christopher Nolan,"['Matthew McConaughey', 'Jessica Chastain']",2014-11-05
27205,Inception,Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt']",2010-07-14
315011,Shin Godzilla,Hideaki Anno,"['Hiroki Hasegawa', 'Yutaka Takenouchi']",2016-07-29
49051,The Hobbit: An Unexpected Journey,Peter Jackson,"['Ian McKellen', 'Martin Freeman']",2012-11-26
9799,The Fast and the Furious,Rob Cohen,"['Paul Walker', 'Vin Diesel']",2001-06-22
4922,The Curious Case of Benjamin Button,David Fincher,"['Cate Blanchett', 'Brad Pitt']",2008-11-24
49538,X-Men: First Class,Matthew Vaughn,"['James McAvoy', 'Michael Fassbender']",2011-05-24
131634,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson']",2015-11-18
27022,The Sorcerer's Apprentice,Jon Turteltaub,"['Nicolas Cage', 'Jay Baruchel']",2010-07-13
503,Poseidon,Wolfgang Petersen,"['Kurt Russell', 'Richard Dreyfuss']",2006-05-12
241259,Alice Through the Looking Glass,James Bobin,"['Johnny Depp', 'Mia Wasikowska']",2016-05-25
810,Shrek the Third,Chris Miller,"['Mike Myers', 'Eddie Murphy']",2007-05-17
68735,Warcraft,Duncan Jones,"['Paula Patton', 'Travis Fimmel']",2016-05-25
87101,Terminator Genisys,Alan Taylor,"['Arnold Schwarzenegger', 'Jason Clarke']",2015-06-23
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,"['Skandar Keynes', 'Georgie Henley']",2010-08-13
676,Pearl Harbor,Michael Bay,"['Ben Affleck', 'Josh Hartnett']",2001-05-21
1858,Transformers,Michael Bay,"['Shia LaBeouf', 'Josh Duhamel']",2007-06-27
1966,Alexander,Oliver Stone,"['Colin Farrell', 'Angelina Jolie']",2004-11-21
675,Harry Potter and the Order of the Phoenix,David Yates,"['Daniel Radcliffe', 'Rupert Grint']",2007-06-28
674,Harry Potter and the Goblet of Fire,Mike Newell,"['Daniel Radcliffe', 'Rupert Grint']",2005-11-05
8960,Hancock,Peter Berg,"['Will Smith', 'Charlize Theron']",2008-07-01
6479,I Am Legend,Francis Lawrence,"['Will Smith', 'Alice Braga']",2007-12-14
118,Charlie and the Chocolate Factory,Tim Burton,"['Johnny Depp', 'Freddie Highmore']",2005-07-13
2062,Ratatouille,Jan Pinkava,"['Patton Oswalt', 'Ian Holm']",2007-06-22
272,Batman Begins,Christopher Nolan,"['Christian Bale', 'Michael Caine']",2005-06-10
10527,Madagascar: Escape 2 Africa,Eric Darnell,"['Ben Stiller', 'Jada Pinkett Smith']",2008-10-30
18360,Night at the Museum: Battle of the Smithsonian,Shawn Levy,"['Ben Stiller', 'Amy Adams']",2009-05-20
2080,X-Men Origins: Wolverine,Gavin Hood,"['Hugh Jackman', 'Liev Schreiber']",2009-04-28
605,The Matrix Revolutions,Lilly Wachowski,"['Keanu Reeves', 'Laurence Fishburne']",2003-11-05
109445,Frozen,Chris Buck,"['Kristen Bell', 'Idina Menzel']",2013-11-27
604,The Matrix Reloaded,Lilly Wachowski,"['Keanu Reeves', 'Carrie-Anne Moss']",2003-05-15
76338,Thor: The Dark World,Alan Taylor,"['Chris Hemsworth', 'Natalie Portman']",2013-10-29
76341,Mad Max: Fury Road,George Miller,"['Tom Hardy', 'Charlize Theron']",2015-05-13
13448,Angels & Demons,Ron Howard,"['Tom Hanks', 'Ewan McGregor']",2009-05-13
10195,Thor,Kenneth Branagh,"['Chris Hemsworth', 'Natalie Portman']",2011-04-21
13053,Bolt,Chris Williams,"['John Travolta', 'Miley Cyrus']",2008-11-21
19585,G-Force,Hoyt Yeatman,"['Sam Rockwell', 'Penélope Cruz']",2009-07-21
57165,Wrath of the Titans,Jonathan Liebesman,"['Sam Worthington', 'Liam Neeson']",2012-03-27
62213,Dark Shadows,Tim Burton,"['Johnny Depp', 'Michelle Pfeiffer']",2012-05-08
177677,Mission: Impossible - Rogue Nation,Christopher McQuarrie,"['Tom Cruise', 'Rebecca Ferguson']",2015-07-23
7978,The Wolfman,Joe Johnston,"['Benicio del Toro', 'Anthony Hopkins']",2010-02-11
5559,Bee Movie,Steve Hickner,"['Jerry Seinfeld', 'Renée Zellweger']",2007-10-28
49444,Kung Fu Panda 2,Jennifer Yuh Nelson,"['Jack Black', 'Angelina Jolie']",2011-05-25
10196,The Last Airbender,M. Night Shyamalan,"['Noah Ringer', 'Nicola Peltz']",2010-06-30
956,Mission: Impossible III,J.J. Abrams,"['Tom Cruise', 'Philip Seymour Hoffman']",2006-05-03
117251,White House Down,Roland Emmerich,"['Channing Tatum', 'Jamie Foxx']",2013-06-27
50321,Mars Needs Moms,Simon Wells,"['Seth Green', 'Joan Cusack']",2011-03-09
11619,Flushed Away,David Bowers,"['Hugh Jackman', 'Kate Winslet']",2006-10-22
266647,Pan,Joe Wright,"['Levi Miller', 'Garrett Hedlund']",2015-09-24
82703,Mr. Peabody & Sherman,Rob Minkoff,"['Ty Burrell', 'Max Charles']",2014-02-07
652,Troy,Wolfgang Petersen,"['Brad Pitt', 'Orlando Bloom']",2004-05-13
80321,Madagascar 3: Europe's Most Wanted,Conrad Vernon,"['Ben Stiller', 'Sacha Baron Cohen']",2012-06-06
36669,Die Another Day,Lee Tamahori,"['Pierce Brosnan', 'Halle Berry']",2002-11-17
43074,Ghostbusters,Paul Feig,"['Melissa McCarthy', 'Kristen Wiig']",2016-07-14
95,Armageddon,Michael Bay,"['Bruce Willis', 'Billy Bob Thornton']",1998-07-01
608,Men in Black II,Barry Sonnenfeld,"['Tommy Lee Jones', 'Will Smith']",2002-07-03
2310,Beowulf,Robert Zemeckis,"['Ray Winstone', 'Angelina Jolie']",2007-11-05
140300,Kung Fu Panda 3,Jennifer Yuh Nelson,"['Jack Black', 'Bryan Cranston']",2016-01-23
56292,Mission: Impossible - Ghost Protocol,Brad Bird,"['Tom Cruise', 'Jeremy Renner']",2011-12-07
81188,Rise of the Guardians,Peter Ramsey,"['Chris Pine', 'Alec Baldwin']",2012-11-21
7552,Fun with Dick and Jane,Dean Parisot,"['Jim Carrey', 'Téa Leoni']",2005-12-21
616,The Last Samurai,Edward Zwick,"['Tom Cruise', 'Ken Watanabe']",2003-12-05
147441,Exodus: Gods and Kings,Ridley Scott,"['Christian Bale', 'Joel Edgerton']",2014-12-03
13475,Star Trek,J.J. Abrams,"['Chris Pine', 'Zachary Quinto']",2009-05-06
557,Spider-Man,Sam Raimi,"['Tobey Maguire', 'Willem Dafoe']",2002-05-01
82702,How to Train Your Dragon 2,Dean DeBlois,"['Jay Baruchel', 'Gerard Butler']",2014-06-12
205584,Gods of Egypt,Alex Proyas,"['Brenton Thwaites', 'Nikolaj Coster-Waldau']",2016-02-25
10048,Stealth,Rob Cohen,"['Josh Lucas', 'Jessica Biel']",2005-07-28
13183,Watchmen,Zack Snyder,"['Malin Åkerman', 'Billy Crudup']",2009-03-05
944,Lethal Weapon 4,Richard Donner,"['Mel Gibson', 'Danny Glover']",1998-07-10
1927,Hulk,Ang Lee,"['Eric Bana', 'Jennifer Connelly']",2003-06-19
72559,G.I. Joe: Retaliation,Jon M. Chu,"['Dwayne Johnson', 'D.J. Cotrona']",2013-03-26
7364,Sahara,Breck Eisner,"['Matthew McConaughey', 'Penélope Cruz']",2005-04-06
2114,Final Fantasy: The Spirits Within,Hironobu Sakaguchi,"['Donald Sutherland', 'Ming-Na Wen']",2001-07-02
1771,Captain America: The First Avenger,Joe Johnston,"['Chris Evans', 'Hugo Weaving']",2011-07-22
36643,The World Is Not Enough,Michael Apted,"['Pierce Brosnan', 'Sophie Marceau']",1999-11-08
8619,Master and Commander: The Far Side of the World,Peter Weir,"['Russell Crowe', 'Paul Bettany']",2003-11-14
50620,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,"['Kristen Stewart', 'Robert Pattinson']",2012-11-13
65759,Happy Feet Two,George Miller,"['Elijah Wood', 'Robin Williams']",2011-11-17
1724,The Incredible Hulk,Louis Leterrier,"['Edward Norton', 'Liv Tyler']",2008-06-12
267935,The BFG,Steven Spielberg,"['Ruby Barnhill', 'Mark Rylance']",2016-06-01
281957,The Revenant,Alejandro González Iñárritu,"['Leonardo DiCaprio', 'Tom Hardy']",2015-12-25
77950,Turbo,David Soren,"['Ryan Reynolds', 'Paul Giamatti']",2013-07-11
44896,Rango,Gore Verbinski,"['Johnny Depp', 'Isla Fisher']",2011-03-02
270946,Penguins of Madagascar,Eric Darnell,"['Tom McGrath', 'Chris Miller']",2014-11-22
2503,The Bourne Ultimatum,Paul Greengrass,"['Matt Damon', 'Julia Stiles']",2007-08-03
9502,Kung Fu Panda,Mark Osborne,"['Jack Black', 'Dustin Hoffman']",2008-06-04
102899,Ant-Man,Peyton Reed,"['Paul Rudd', 'Michael Douglas']",2015-07-14
101299,The Hunger Games: Catching Fire,Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson']",2013-11-15
228161,Home,Tim Johnson,"['Jim Parsons', 'Rihanna']",2015-03-18
74,War of the Worlds,Steven Spielberg,"['Tom Cruise', 'Dakota Fanning']",2005-06-28
8961,Bad Boys II,Michael Bay,"['Martin Lawrence', 'Will Smith']",2003-07-18
417859,Puss in Boots,Chris Miller,"['Antonio Banderas', 'Salma Hayek']",2011-10-28
27576,Salt,Phillip Noyce,"['Angelina Jolie', 'Liev Schreiber']",2010-07-21
86834,Noah,Darren Aronofsky,"['Russell Crowe', 'Jennifer Connelly']",2014-03-20
17578,The Adventures of Tintin,Steven Spielberg,"['Jamie Bell', 'Andy Serkis']",2011-10-25
673,Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,"['Daniel Radcliffe', 'Rupert Grint']",2004-05-31
6972,Australia,Baz Luhrmann,"['Nicole Kidman', 'Hugh Jackman']",2008-11-18
82700,After Earth,M. Night Shyamalan,"['Jaden Smith', 'Will Smith']",2013-05-30
10567,Dinosaur,Ralph Zondag,"['D. B. Sweeney', 'Alfre Woodard']",2000-05-19
181533,Night at the Museum: Secret of the Tomb,Shawn Levy,"['Ben Stiller', 'Rami Malek']",2014-12-17
38055,Megamind,Tom McGrath,"['Will Ferrell', 'Brad Pitt']",2010-10-28
671,Harry Potter and the Philosopher's Stone,Chris Columbus,"['Daniel Radcliffe', 'Rupert Grint']",2001-11-16
49524,R.I.P.D.,Robert Schwentke,"['Jeff Bridges', 'Ryan Reynolds']",2013-07-18
22,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,"['Johnny Depp', 'Geoffrey Rush']",2003-07-09
131631,The Hunger Games: Mockingjay - Part 1,Francis Lawrence,"['Jennifer Lawrence', 'Josh Hutcherson']",2014-11-18
591,The Da Vinci Code,Ron Howard,"['Tom Hanks', 'Audrey Tautou']",2006-05-17
172385,Rio 2,Carlos Saldanha,"['Jesse Eisenberg', 'Anne Hathaway']",2014-03-19
36658,X2,Bryan Singer,"['Patrick Stewart', 'Hugh Jackman']",2003-04-24
51497,Fast Five,Justin Lin,"['Vin Diesel', 'Paul Walker']",2011-04-20
58574,Sherlock Holmes: A Game of Shadows,Guy Ritchie,"['Robert Downey Jr.', 'Jude Law']",2011-11-22
18823,Clash of the Titans,Louis Leterrier,"['Sam Worthington', 'Liam Neeson']",2010-04-01
861,Total Recall,Paul Verhoeven,"['Arnold Schwarzenegger', 'Sharon Stone']",1990-06-01
1911,The 13th Warrior,John McTiernan,"['Antonio Banderas', 'Vladimir Kulich']",1999-08-27
49040,The Bourne Legacy,Tony Gilroy,"['Jeremy Renner', 'Rachel Weisz']",2012-08-08
415,Batman & Robin,Joel Schumacher,"['George Clooney', ""Chris O'Donnell""]",1997-06-20
8871,How the Grinch Stole Christmas,Ron Howard,"['Jim Carrey', 'Taylor Momsen']",2000-11-17
435,The Day After Tomorrow,Roland Emmerich,"['Dennis Quaid', 'Jake Gyllenhaal']",2004-05-26
955,Mission: Impossible II,John Woo,"['Tom Cruise', 'Dougray Scott']",2000-05-24
2133,The Perfect Storm,Wolfgang Petersen,"['George Clooney', 'Mark Wahlberg']",2000-03-15
1979,Fantastic 4: Rise of the Silver Surfer,Tim Story,"['Ioan Gruffudd', 'Jessica Alba']",2007-06-13
87827,Life of Pi,Ang Lee,"['Suraj Sharma', 'Irrfan Khan']",2012-11-20
1250,Ghost Rider,Mark Steven Johnson,"['Nicolas Cage', 'Eva Mendes']",2007-02-16
324668,Jason Bourne,Paul Greengrass,"['Matt Damon', 'Alicia Vikander']",2016-07-27
9471,Charlie's Angels: Full Throttle,McG,"['Cameron Diaz', 'Drew Barrymore']",2003-06-27
70981,Prometheus,Ridley Scott,"['Noomi Rapace', 'Michael Fassbender']",2012-05-30
10996,Stuart Little 2,Rob Minkoff,"['Michael J. Fox', 'Geena Davis']",2002-07-19
68724,Elysium,Neill Blomkamp,"['Matt Damon', 'Jodie Foster']",2013-08-07
2789,The Chronicles of Riddick,David Twohy,"['Vin Diesel', 'Thandie Newton']",2004-06-11
97020,RoboCop,José Padilha,"['Joel Kinnaman', 'Gary Oldman']",2014-01-30
7459,Speed Racer,Lilly Wachowski,"['Emile Hirsch', 'Christina Ricci']",2008-05-09
42888,How Do You Know,James L. Brooks,"['Reese Witherspoon', 'Paul Rudd']",2010-12-17
37834,Knight and Day,James Mangold,"['Tom Cruise', 'Cameron Diaz']",2010-06-15
75612,Oblivion,Joseph Kosinski,"['Tom Cruise', 'Morgan Freeman']",2013-04-10
1895,Star Wars: Episode III - Revenge of the Sith,George Lucas,"['Ewan McGregor', 'Natalie Portman']",2005-05-17
1894,Star Wars: Episode II - Attack of the Clones,George Lucas,"['Ewan McGregor', 'Natalie Portman']",2002-05-15
585,"Monsters, Inc.",Pete Docter,"['John Goodman', 'Billy Crystal']",2001-11-01
76170,The Wolverine,James Mangold,"['Hugh Jackman', 'Hiroyuki Sanada']",2013-07-23
1893,Star Wars: Episode I - The Phantom Menace,George Lucas,"['Liam Neeson', 'Ewan McGregor']",1999-05-19
49519,The Croods,Chris Sanders,"['Nicolas Cage', 'Emma Stone']",2013-03-20
2395,Asterix at the Olympic Games,Thomas Langmann,"['Clovis Cornillac', 'Gérard Depardieu']",2008-01-13
12100,Windtalkers,John Woo,"['Nicolas Cage', 'Adam Beach']",2002-06-14
290595,The Huntsman: Winter's War,Cedric Nicolas-Troyan,"['Chris Hemsworth', 'Charlize Theron']",2016-04-06
98566,Teenage Mutant Ninja Turtles,Jonathan Liebesman,"['Megan Fox', 'Will Arnett']",2014-08-07
49047,Gravity,Alfonso Cuarón,"['Sandra Bullock', 'George Clooney']",2013-09-27
9619,Dante's Peak,Roger Donaldson,"['Pierce Brosnan', 'Linda Hamilton']",1997-02-07
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,"['Megan Fox', 'Stephen Amell']",2016-06-01
166424,Fantastic Four,Josh Trank,"['Miles Teller', 'Kate Mara']",2015-08-05
1593,Night at the Museum,Shawn Levy,"['Ben Stiller', 'Jake Cherry']",2006-10-20
254128,San Andreas,Brad Peyton,"['Dwayne Johnson', 'Alexandra Daddario']",2015-05-27
714,Tomorrow Never Dies,Roger Spottiswoode,"['Pierce Brosnan', 'Jonathan Pryce']",1997-12-11
2024,The Patriot,Roland Emmerich,"['Mel Gibson', 'Heath Ledger']",2000-06-28
163,Ocean's Twelve,Steven Soderbergh,"['George Clooney', 'Brad Pitt']",2004-12-09
787,Mr. & Mrs. Smith,Doug Liman,"['Angelina Jolie', 'Brad Pitt']",2005-06-07
262500,Insurgent,Robert Schwentke,"['Shailene Woodley', 'Theo James']",2015-03-18
2567,The Aviator,Martin Scorsese,"['Leonardo DiCaprio', 'Cate Blanchett']",2004-12-17
38745,Gulliver's Travels,Rob Letterman,"['Jack Black', 'Amanda Peet']",2010-12-25
40805,The Green Hornet,Michel Gondry,"['Seth Rogen', 'Jay Chou']",2011-01-12
53182,300: Rise of an Empire,Noam Murro,"['Sullivan Stapleton', 'Eva Green']",2014-03-05
41513,The Smurfs,Raja Gosnell,"['Hank Azaria', 'Neil Patrick Harris']",2011-07-29
13700,Home on the Range,Will Finn,"['Roseanne Barr', 'Judi Dench']",2004-04-02
262504,Allegiant,Robert Schwentke,"['Shailene Woodley', 'Theo James']",2016-03-09
39254,Real Steel,Shawn Levy,"['Hugh Jackman', 'Dakota Goyo']",2011-09-28
77931,The Smurfs 2,Raja Gosnell,"['Hank Azaria', 'Neil Patrick Harris']",2013-07-30
1639,Speed 2: Cruise Control,Jan de Bont,"['Sandra Bullock', 'Jason Patric']",1997-06-13
80274,Ender's Game,Gavin Hood,"['Asa Butterfield', 'Harrison Ford']",2013-10-23
1571,Live Free or Die Hard,Len Wiseman,"['Bruce Willis', 'Justin Long']",2007-06-20
120,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"['Elijah Wood', 'Ian McKellen']",2001-12-18
10204,Around the World in 80 Days,Frank Coraci,"['Jackie Chan', 'Steve Coogan']",2004-06-16
8489,Ali,Michael Mann,"['Will Smith', 'Jamie Foxx']",2001-12-11
10588,The Cat in the Hat,Bo Welch,"['Mike Myers', 'Dakota Fanning']",2003-11-21
2048,"I, Robot",Alex Proyas,"['Will Smith', 'Bridget Moynahan']",2004-07-15
1495,Kingdom of Heaven,Ridley Scott,"['Orlando Bloom', 'Eva Green']",2005-05-03
10137,Stuart Little,Rob Minkoff,"['Michael J. Fox', 'Geena Davis']",1999-12-17
10198,The Princess and the Frog,Ron Clements,"['Anika Noni Rose', 'Bruno Campos']",2009-12-08
286217,The Martian,Ridley Scott,"['Matt Damon', 'Jessica Chastain']",2015-09-30
1635,The Island,Michael Bay,"['Ewan McGregor', 'Scarlett Johansson']",2005-07-20
24113,Town & Country,Peter Chelsom,"['Warren Beatty', 'Diane Keaton']",2001-04-27
9679,Gone in Sixty Seconds,Dominic Sena,"['Nicolas Cage', 'Angelina Jolie']",2000-06-09
98,Gladiator,Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix']",2000-05-01
180,Minority Report,Steven Spielberg,"['Tom Cruise', 'Colin Farrell']",2002-06-20
672,Harry Potter and the Chamber of Secrets,Chris Columbus,"['Daniel Radcliffe', 'Rupert Grint']",2002-11-13
